bred001moor01_01.TEI.2.text.body.div.div.head.3771.s.1	Namen der spellende personagien .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3789.s.1	Ritsart , een Ionghelingh .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3794.s.1	Koenraat , de Vaders Makelaar .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3797.s.1	Moy-aal , een Snol .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3802.s.1	Writsart , een Aankomelingh .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3807.s.1	Katryntie , ' tHaagsche Dochtertje .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3814.s.1	Kackerlack , de Panlicker .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3819.s.1	Roemert , de Kapiteyn .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3822.s.1	Angeniet , een Dienstmeyt .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3825.s.1	Frederyck , een Iongman .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3828.s.1	Reynier , een Vryer .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3835.s.1	Klaartie Klonters , een Morssebelletje .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3838.s.1	Negra , de Moor .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3846.s.1	Ian-Neef , de Kock .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3851.s.1	Geertruy , de Minne-moer .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3854.s.1	Lambert , de Vader van Ritsart en Writsart .	None
bred001moor01_01.TEI.2.text.body.div.div.head.3861.s.1	Eerste uytkomen van het eerste bedrijf .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3867.s.1	ritsart , Koenraat .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.1	Wel wat sal ick dan doen ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.2	sal icker gaen of niet Nu sy myn uyt haer selfs en vrye wil ontbiet ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.3	Of wil 'k myn sotte lust met reden nu besnoeren En vlieden het bedroch der afgherechter hoeren ?	BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.4	Die lóóslijck met myn spot , als ick tot harent kom Dan sluytse myn voor deur , dan roeptse myn weerom , En set my tóót op tóót en loopt by andere pollen .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.5	Ick weet niet hoe ick wil , soo is myn kop op rollen !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.6	Neen ick en gader niet al badt sy noch so seer , Myn sinnen zyn ghekeert :	Emotion_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3906.s.1	koenraat	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.1	't Is u oock 't best myn Heer Dat ghy de gayle tocht des herten gaet in houwen , En gheefdy gheen ghehóór der lóóser lichter vrouwen , Ghy wert u selven voocht , 't is wel datmen begint , En stadich blyft by 't werck , ghestadicheyt verwint : Doch is u sin soo wuft dat ghy u niet kunt breecken Noch koelen u ghemoedt , en loopt haer weder smeecken Met lieffelijck gheplaar van woorden suycker-soet , Tot hare schalckheyt merckt dat ghyt uyt liefden doet , So ist met u ghedaen !	Emotion_EmotionalAction_BodyPart_BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.2	u saken gaan verloren , Want sy sal u met schijn van vruntschap so bekoren , Bekollen dol en dom : soo dat ghy sonder maat Nauw weten sult of ghy op hóóft oft voeten gaet .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.3	En hangdy hart of siel an haer beveynsde treken So sal sy endelingh den draack noch met u steken ; Dat is der Hoeren aert .	BodyPart_Dedication
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3954.s.1	ritsart	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3962.s.1	Dewijl de saack soo staat , Besint u en versint voor my een goede raadt : Denckt eens , noch eens , noch eens !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3962.s.2	en vraacht an u ghepeynsen Hoe dat ick myn verdriet en minne best sal veynsen .	Emotion_Love_Sadness_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.1	O Meester !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.2	u ellendt ontroert my sonderlingh , En wat de min belanght dat is een seldsaam ding , s'Is raadt en redenlóós , en so wilt van manieren Dat wijsheyt , kracht , noch kunst , haer woestheyt kan bestieren .	Emotion_Moved
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.3	Al dees ghebreecken zijn voorneemlijck inde min Als laster , quaat vermoen , bekommeringh van sin , En rueckelóósheyt slof , en veel onnutte vreesen , En sorghen , licht-ghelóóf , betuetering van wesen ; En achterclap , en haat , en twijffelinghen mee En verand'ringhen van bestant , van krijch , van vree .	Suspicion_Fear_Emotion_Hatred_BodyPart_BodilyProcess_Dissapointment_Despair
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.4	Beseylt dan op 't Kompas vande beslepe reden Eens een'ge sekerheyt , in des ' onsekerheden .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.5	Vergheefs is al u moeyt , al woeldy noch soo hart , Ghy vindt noch rust , noch vree , maer eyndeloose smart .	Emotion_Sadness
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.6	So u vermoeyde gheest door't hopeloose trueren Op eyghen slapheydt dan u selven gaat verstueren ; En vaart onheb'lyck uyt , uyt dulheydt meer verwoedt Dan redelyck of recht , met bittre mondt en moedt Bescheldent uwe schuldt , en vloeckt dan vloeck op vloecken Op't ongh'luck , dat wy selfs benaarstighen en soecken .	Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Sadness_Despair_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.7	Neemt by u selven voor van daar niet meer te gaan , En treckt het hart en hooft met onwil daar van daan , Segghende in u selfs : en soud ' ick haar niet haten Die nu een ander mint en my al heeft verlaten ?	Emotion_Hatred_Love
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.8	Ick waar veel liever dóót : het sal oock soo gheschien Dat sy wie dat ick ben te laat met leedt sal sien .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.9	Dit opset is wel goet , en billich oock ghenomen , Maar krachtelóós en ijl , want wil jer weder komen Sy sal u vlieghen met veel jonsten om den hals , En gheven u een praat van schóóne wóórden vals , En soecken met gheweldt van wringhen , en van wrijven , Een traantje soo ghemaackt , ten óóghen uyt te drijven , En met gheveynst ghebaar versieren een onschult , Waar op dat ghy terstont u gramschap laten sult , En 't al te dweech ghemoedt van wreede tyrannijen Beschulden , als of ghy waart oorsaack van haar lijen , En gheven uyt u selfs u over inde macht , Die met betraant ghelaat om u in't harte lacht .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4089.s.1	Die schandelycke treck , 't bedroch , en schelmerijen , Dat werdt ick nu ghewaar , maar meest myn sotternyen , En 't wonderlyck verraadt .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4089.s.2	Ick brande van een vlam Die uyt onkuysche lust haar eerste oorsprongh nam , Ick doe al wetens quaadt , al streefter reden teghen , Myn sinlyckheydt verwindt , ick ben te seer gheneghen , Ick sterf dat ick sie , ick leef , ick weet niet hoe , 'k Heb noch belul , noch raadt , ay raadtmen dat ick doe ?	BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.4114.s.1	Staet af van't snóódt vervolch van u verbode minne , En tueghelt met verstandt u tóómelóóse sinnen : Valt u 't beginsel swaar , of barst u 't hart van spydt , Allengsjens dat versacht met hulp van werck en tydt : Gheen beter middel mach u yemandt hier voorstellen , Om u op 't alderminst in dese saack te quellen .	Emotion_BodyPart_BodilyProcess_Love_Desire_Remorse
bred001moor01_01.TEI.2.text.body.div.div.sp.4118.s.1	Maar houdy dat voor best ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.1	Ja Heere !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.2	dats ghewis , Maackt toch gheen swaricheydt , noch gróóte droeffenis Om een lichtvaardicheydt ; den vrouwen aangheboren , Die licht vergheten 't gheen sy lichtelyck verkoren .	Emotion_Sadness
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.3	Siet daar , daar komtse selfs , die pest , en het verderf , Die u gheheele goet verteert als eyghen erf .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.4135.s.1	moy-aal	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.1	Ach arme !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.2	ick helas !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.3	ick ducht , dits al myn vreesen Dat Ritsaart seer versteurt en tóórnich sal wesen Op myn , om dat ick hem voor deur heb laten staan , Niet wetende waarom ick sulcx heb ghedaan .	Fear_Emotion_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4157.s.1	Ach Koenraadt wat is dit ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4157.s.2	ick kan gheen wesen houwen , Mijn hart ontsinckt my slechts alleen door het anschouwen .	BodyPart_BodilyProcess_Despair
